case,year,Scenario,TechSensitivity,nonsrec_energy_revenue,nonsrec_capacity_revenue,nonsrec_rps_revenue,nonsrec_revenue,capacity,output,capacityfactor,nonsrec_revenue_permwh
deepdecarbonization_dgsolar_instaterps_lowngcost,2050,DD + High Solar + 80% Instate,Low NatGas Price,593968312.1317998,2273023.623932949,4988683,601230018.7557328,15730.893916666668,27918570.264222734,0.20259823865754945,21.53512923712289
deepdecarbonization_dgsolar_instaterps_lowrecost,2030,DD + High Solar + 80% Instate,Low RE/BESS Cost,196196324.63954532,1462001.7299857584,-2,197658324.36953107,4370.225083333334,7839489.807756768,0.20477639269406395,25.213161725646792
deepdecarbonization_dgsolar_instaterps_lowrecost,2040,DD + High Solar + 80% Instate,Low RE/BESS Cost,363515126.65573215,3643007.1633415148,-5,367158128.8190737,10473.906,18764823.185694236,0.20451807600619604,19.566298343753353
deepdecarbonization_dgsolar_instaterps_lowrecost,2050,DD + High Solar + 80% Instate,Low RE/BESS Cost,565157711.3266685,8516556.20208089,-141,573674126.5287493,15730.893916666668,27918570.264222734,0.20259823865754945,20.54811980339498
deepdecarbonization_dgsolar_instaterps_mid,2030,DD + High Solar + 80% Instate,Mid,214415907.97752613,1128022.1140321214,-3,215543927.09155825,4370.225083333334,7839489.807756768,0.20477639269406395,27.494637071699326
deepdecarbonization_dgsolar_instaterps_mid,2040,DD + High Solar + 80% Instate,Mid,418065350.2309152,1639941.9697201103,-35,419705257.2006353,10473.906,18764823.185694236,0.20451807600619604,22.366598024787496
deepdecarbonization_dgsolar_instaterps_mid,2050,DD + High Solar + 80% Instate,Mid,623426480.748847,2465240.6059562787,6930,625898651.3548033,15730.893916666668,27918570.264222734,0.20259823865754945,22.418721497242426
deepdecarbonization_dgsolar_instaterps_noflexibleload,2030,DD + High Solar + 80% Instate,No Flexible Load,212255722.21560663,615236.7648302496,-2,212870956.9804369,4370.225083333334,7839489.807756768,0.20477639269406395,27.15367481820209
deepdecarbonization_dgsolar_instaterps_noflexibleload,2040,DD + High Solar + 80% Instate,No Flexible Load,448653507.6612443,2152403.720644867,-16,450805895.38188916,10473.906,18764823.185694236,0.20451807600619604,24.023988444802967
deepdecarbonization_dgsolar_instaterps_noflexibleload,2050,DD + High Solar + 80% Instate,No Flexible Load,682117740.2669475,8606093.215982767,-38,690723795.4829303,15730.893916666668,27918570.264222734,0.20259823865754945,24.740657882759972
deepdecarbonization_dgsolar_instaterps_nointertrans,2030,DD + High Solar + 80% Instate,No Interregional Transmission Upgrade,215119143.20059806,1598951.1710025994,-2,216718092.37160066,4370.225083333334,7839489.807756768,0.20477639269406395,27.644412798033027
deepdecarbonization_dgsolar_instaterps_nointertrans,2040,DD + High Solar + 80% Instate,No Interregional Transmission Upgrade,419562136.58537877,2061859.2751166832,-12,421623983.86049545,10473.906,18764823.185694236,0.20451807600619604,22.46884927655111
