Studyregion_table,case,year,Fuel,Scenario,TechSensitivity,Capacity,Charging Capacity,Energy Capacity,Capacity Expansion,Energy Capacity Expansion,Charging Capacity Expansion,Capacity Retirement,Energy Capacity Retirement,Charging Capacity Retirement
WECC,currentpolicy_80CES_10ci_nocip,2030,Gas CT,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,9900.219,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Geothermal,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,2946.513,0,0,1710,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Hydro,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,9079.901,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Nuclear,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Offshore Wind,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Onshore Wind,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,9659.059,0,0,3595.859,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Pumped hydro,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,3425.4,0,0,0,0,0,0,0,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Utility Solar,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,48041.622,0,0,35734.522,0,0,0,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Battery,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,3020,0,3020,3020,3020,0,0,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Biomass,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,252.915,0,0,0,0,0,0,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Coal,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.002,0,0,0,0,0,49419.98,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Gas CC,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,115556.702,0,0,60843.708,0,0,451.898,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Gas CT,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,27205.255,0,0,0,0,0,443.273,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Gas steam,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,6304.401,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Hydro,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,4917.61,0,0,0,0,0,0,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Nuclear,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,6462,0,0,0,0,0,19355.601,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Offshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,8549.999,0,0,8549.999,0,0,0,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Onshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,15292.298,0,0,6999.277,0,0,3.2,0,0
PJM,currentpolicy_10ci_adv_nocip,2030,Pumped hydro,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,5243.999,0,0,0,0,0,0,0,0
