case,year,Fuel,Scenario,TechSensitivity,Total Subsidy
statedpolicy_dgsolar_instaterps_mid,2030,Nuclear,SP + High Solar + 80% Instate,Mid,8.78
statedpolicy_dgsolar_instaterps_mid,2030,Offshore Wind,SP + High Solar + 80% Instate,Mid,42.21
statedpolicy_dgsolar_instaterps_mid,2030,Utility Solar,SP + High Solar + 80% Instate,Mid,9.53
statedpolicy_dgsolar_instaterps_mid,2040,Nuclear,SP + High Solar + 80% Instate,Mid,6
statedpolicy_dgsolar_instaterps_mid,2040,Offshore Wind,SP + High Solar + 80% Instate,Mid,37.26
statedpolicy_dgsolar_instaterps_mid,2040,Utility Solar,SP + High Solar + 80% Instate,Mid,6.22
statedpolicy_dgsolar_instaterps_mid,2050,Nuclear,SP + High Solar + 80% Instate,Mid,27.81
statedpolicy_dgsolar_instaterps_mid,2050,Offshore Wind,SP + High Solar + 80% Instate,Mid,31.27
statedpolicy_dgsolar_instaterps_mid,2050,Utility Solar,SP + High Solar + 80% Instate,Mid,28.31
statedpolicy_dgsolar_instaterps_noflexibleload,2030,Nuclear,SP + High Solar + 80% Instate,No Flexible Load,8.61
statedpolicy_dgsolar_instaterps_noflexibleload,2030,Offshore Wind,SP + High Solar + 80% Instate,No Flexible Load,41.73
statedpolicy_dgsolar_instaterps_noflexibleload,2030,Utility Solar,SP + High Solar + 80% Instate,No Flexible Load,9.84
statedpolicy_dgsolar_instaterps_noflexibleload,2040,Nuclear,SP + High Solar + 80% Instate,No Flexible Load,6.49
statedpolicy_dgsolar_instaterps_noflexibleload,2040,Offshore Wind,SP + High Solar + 80% Instate,No Flexible Load,37.62
statedpolicy_dgsolar_instaterps_noflexibleload,2040,Utility Solar,SP + High Solar + 80% Instate,No Flexible Load,6.88
statedpolicy_dgsolar_instaterps_noflexibleload,2050,Nuclear,SP + High Solar + 80% Instate,No Flexible Load,28.57
statedpolicy_dgsolar_instaterps_noflexibleload,2050,Offshore Wind,SP + High Solar + 80% Instate,No Flexible Load,30.11
statedpolicy_dgsolar_instaterps_noflexibleload,2050,Utility Solar,SP + High Solar + 80% Instate,No Flexible Load,29.38
statedpolicy_dgsolar_instaterps_nointertrans,2030,Nuclear,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,9.2
statedpolicy_dgsolar_instaterps_nointertrans,2030,Offshore Wind,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,42.51
statedpolicy_dgsolar_instaterps_nointertrans,2030,Utility Solar,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,9.64
statedpolicy_dgsolar_instaterps_nointertrans,2040,Nuclear,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,6.75
statedpolicy_dgsolar_instaterps_nointertrans,2040,Offshore Wind,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,36.37
statedpolicy_dgsolar_instaterps_nointertrans,2040,Utility Solar,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,6.75
statedpolicy_dgsolar_instaterps_nointertrans,2050,Nuclear,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,29.01
statedpolicy_dgsolar_instaterps_nointertrans,2050,Offshore Wind,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,29.53
statedpolicy_dgsolar_instaterps_nointertrans,2050,Utility Solar,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,29.01
statedpolicy_dgsolar_lowngcost,2030,Nuclear,SP + High Solar,Low NatGas Price,12.12
statedpolicy_dgsolar_lowngcost,2030,Offshore Wind,SP + High Solar,Low NatGas Price,45.64
statedpolicy_dgsolar_lowngcost,2030,Utility Solar,SP + High Solar,Low NatGas Price,11.75
statedpolicy_dgsolar_lowngcost,2040,Offshore Wind,SP + High Solar,Low NatGas Price,41.74
statedpolicy_dgsolar_lowngcost,2040,Utility Solar,SP + High Solar,Low NatGas Price,9.51
statedpolicy_dgsolar_lowngcost,2050,Offshore Wind,SP + High Solar,Low NatGas Price,29.37
statedpolicy_dgsolar_lowngcost,2050,Utility Solar,SP + High Solar,Low NatGas Price,8.15
statedpolicy_dgsolar_lowrecost,2030,Nuclear,SP + High Solar,Low RE/BESS Cost,8.84
statedpolicy_dgsolar_lowrecost,2030,Offshore Wind,SP + High Solar,Low RE/BESS Cost,35.8
statedpolicy_dgsolar_lowrecost,2030,Utility Solar,SP + High Solar,Low RE/BESS Cost,7.94
statedpolicy_dgsolar_lowrecost,2040,Offshore Wind,SP + High Solar,Low RE/BESS Cost,26.05
statedpolicy_dgsolar_lowrecost,2040,Utility Solar,SP + High Solar,Low RE/BESS Cost,4.77
statedpolicy_dgsolar_lowrecost,2050,Offshore Wind,SP + High Solar,Low RE/BESS Cost,14.69
statedpolicy_dgsolar_lowrecost,2050,Utility Solar,SP + High Solar,Low RE/BESS Cost,1.71
statedpolicy_dgsolar_mid,2030,Nuclear,SP + High Solar,Mid,8.78
statedpolicy_dgsolar_mid,2030,Offshore Wind,SP + High Solar,Mid,42.21
statedpolicy_dgsolar_mid,2030,Utility Solar,SP + High Solar,Mid,9.53
statedpolicy_dgsolar_mid,2040,Offshore Wind,SP + High Solar,Mid,37.19
statedpolicy_dgsolar_mid,2040,Utility Solar,SP + High Solar,Mid,5.68
statedpolicy_dgsolar_mid,2050,Offshore Wind,SP + High Solar,Mid,25.52
statedpolicy_dgsolar_mid,2050,Utility Solar,SP + High Solar,Mid,4.84
statedpolicy_dgsolar_noflexibleload,2030,Nuclear,SP + High Solar,No Flexible Load,8.61
statedpolicy_dgsolar_noflexibleload,2030,Offshore Wind,SP + High Solar,No Flexible Load,41.73
statedpolicy_dgsolar_noflexibleload,2030,Utility Solar,SP + High Solar,No Flexible Load,9.84
statedpolicy_dgsolar_noflexibleload,2040,Offshore Wind,SP + High Solar,No Flexible Load,37.42
statedpolicy_dgsolar_noflexibleload,2040,Utility Solar,SP + High Solar,No Flexible Load,6.53
statedpolicy_dgsolar_noflexibleload,2050,Offshore Wind,SP + High Solar,No Flexible Load,24.73
statedpolicy_dgsolar_noflexibleload,2050,Utility Solar,SP + High Solar,No Flexible Load,4.64
statedpolicy_dgsolar_nointertrans,2030,Nuclear,SP + High Solar,No Interregional Transmission Upgrade,9.2
statedpolicy_dgsolar_nointertrans,2030,Offshore Wind,SP + High Solar,No Interregional Transmission Upgrade,42.51
statedpolicy_dgsolar_nointertrans,2030,Utility Solar,SP + High Solar,No Interregional Transmission Upgrade,9.64
statedpolicy_dgsolar_nointertrans,2040,Offshore Wind,SP + High Solar,No Interregional Transmission Upgrade,36.44
statedpolicy_dgsolar_nointertrans,2040,Utility Solar,SP + High Solar,No Interregional Transmission Upgrade,5.15
statedpolicy_dgsolar_nointertrans,2050,Offshore Wind,SP + High Solar,No Interregional Transmission Upgrade,25.18
statedpolicy_dgsolar_nointertrans,2050,Utility Solar,SP + High Solar,No Interregional Transmission Upgrade,3.59
statedpolicy_dgsolar_nuclear_doublezcfcost,2030,Nuclear,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,8.78
statedpolicy_dgsolar_nuclear_doublezcfcost,2030,Offshore Wind,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,42.21
statedpolicy_dgsolar_nuclear_doublezcfcost,2030,Utility Solar,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,9.53
statedpolicy_dgsolar_nuclear_doublezcfcost,2040,Nuclear,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,7.34
