case,year,Scenario,TechSensitivity,energy_revenue
deepdecarbonization_instaterps_lowngcost,2040,DD + 80% Instate,Low NatGas Price,223858004.25693047
deepdecarbonization_instaterps_lowngcost,2050,DD + 80% Instate,Low NatGas Price,206701179.06484598
deepdecarbonization_instaterps_lowrecost,2030,DD + 80% Instate,Low RE/BESS Cost,263732103.71443003
deepdecarbonization_instaterps_lowrecost,2040,DD + 80% Instate,Low RE/BESS Cost,194707442.49251097
deepdecarbonization_instaterps_lowrecost,2050,DD + 80% Instate,Low RE/BESS Cost,208079526.41423035
deepdecarbonization_instaterps_mid,2030,DD + 80% Instate,Mid,287882046.70058715
deepdecarbonization_instaterps_mid,2040,DD + 80% Instate,Mid,223209867.47460538
deepdecarbonization_instaterps_mid,2050,DD + 80% Instate,Mid,219371874.5325367
deepdecarbonization_instaterps_noflexibleload,2030,DD + 80% Instate,No Flexible Load,285935810.43053806
deepdecarbonization_instaterps_noflexibleload,2040,DD + 80% Instate,No Flexible Load,240455302.90854675
deepdecarbonization_instaterps_noflexibleload,2050,DD + 80% Instate,No Flexible Load,242041623.11325043
deepdecarbonization_instaterps_nointertrans,2030,DD + 80% Instate,No Interregional Transmission Upgrade,290705183.5023813
deepdecarbonization_instaterps_nointertrans,2040,DD + 80% Instate,No Interregional Transmission Upgrade,228219659.9912297
deepdecarbonization_instaterps_nointertrans,2050,DD + 80% Instate,No Interregional Transmission Upgrade,216078330.78768224
deepdecarbonization_lowngcost,2030,Deep Decarbonization (DD),Low NatGas Price,290573601.3916315
deepdecarbonization_lowngcost,2040,Deep Decarbonization (DD),Low NatGas Price,238017337.40761572
deepdecarbonization_lowngcost,2050,Deep Decarbonization (DD),Low NatGas Price,218022377.46511358
deepdecarbonization_lowrecost,2030,Deep Decarbonization (DD),Low RE/BESS Cost,263731863.4543612
deepdecarbonization_lowrecost,2040,Deep Decarbonization (DD),Low RE/BESS Cost,205458524.3429258
deepdecarbonization_lowrecost,2050,Deep Decarbonization (DD),Low RE/BESS Cost,208239907.88254082
deepdecarbonization_mid,2030,Deep Decarbonization (DD),Mid,287882068.61737275
deepdecarbonization_mid,2040,Deep Decarbonization (DD),Mid,236887399.25485915
deepdecarbonization_mid,2050,Deep Decarbonization (DD),Mid,226575538.8520717
deepdecarbonization_noflexibleload,2030,Deep Decarbonization (DD),No Flexible Load,285937863.6434626
deepdecarbonization_noflexibleload,2040,Deep Decarbonization (DD),No Flexible Load,249269969.22732523
deepdecarbonization_noflexibleload,2050,Deep Decarbonization (DD),No Flexible Load,249570088.39972502
deepdecarbonization_nointertrans,2030,Deep Decarbonization (DD),No Interregional Transmission Upgrade,290705712.3700191
deepdecarbonization_nointertrans,2040,Deep Decarbonization (DD),No Interregional Transmission Upgrade,238697533.0462132
deepdecarbonization_nointertrans,2050,Deep Decarbonization (DD),No Interregional Transmission Upgrade,225547835.6008503
deepdecarbonization_nuclear_doublezcfcost,2030,DD + Nuclear,Doubled ZCF Fuel Price,287882068.61737275
deepdecarbonization_nuclear_doublezcfcost,2040,DD + Nuclear,Doubled ZCF Fuel Price,235907471.4254576
deepdecarbonization_nuclear_doublezcfcost,2050,DD + Nuclear,Doubled ZCF Fuel Price,221532792.38511994
deepdecarbonization_nuclear_highngcost,2030,DD + Nuclear,High NatGas Price,295421931.17913216
deepdecarbonization_nuclear_highngcost,2040,DD + Nuclear,High NatGas Price,235171644.89801282
deepdecarbonization_nuclear_highngcost,2050,DD + Nuclear,High NatGas Price,225508510.4019425
deepdecarbonization_nuclear_highrecost,2030,DD + Nuclear,High RE/BESS Cost,327558333.08851534
deepdecarbonization_nuclear_highrecost,2040,DD + Nuclear,High RE/BESS Cost,319854228.59605676
deepdecarbonization_nuclear_highrecost,2050,DD + Nuclear,High RE/BESS Cost,261994804.40277374
deepdecarbonization_nuclear_instaterps_doublezcfcost,2030,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,287882046.70058715
deepdecarbonization_nuclear_instaterps_doublezcfcost,2040,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,221424323.3371271
deepdecarbonization_nuclear_instaterps_doublezcfcost,2050,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,213606296.95898378
deepdecarbonization_nuclear_instaterps_highngcost,2030,DD + Nuclear + 80% Instate,High NatGas Price,295422292.25675106
deepdecarbonization_nuclear_instaterps_highngcost,2040,DD + Nuclear + 80% Instate,High NatGas Price,220837552.93395323
deepdecarbonization_nuclear_instaterps_highngcost,2050,DD + Nuclear + 80% Instate,High NatGas Price,222668242.04929167
deepdecarbonization_nuclear_instaterps_highrecost,2030,DD + Nuclear + 80% Instate,High RE/BESS Cost,327559521.4764632
deepdecarbonization_nuclear_instaterps_highrecost,2040,DD + Nuclear + 80% Instate,High RE/BESS Cost,298701751.66234314
deepdecarbonization_nuclear_instaterps_highrecost,2050,DD + Nuclear + 80% Instate,High RE/BESS Cost,226811190.41062078
deepdecarbonization_nuclear_instaterps_lowngcost,2030,DD + Nuclear + 80% Instate,Low NatGas Price,290573642.4570416
deepdecarbonization_nuclear_instaterps_lowngcost,2040,DD + Nuclear + 80% Instate,Low NatGas Price,223858077.9557228
deepdecarbonization_nuclear_instaterps_lowngcost,2050,DD + Nuclear + 80% Instate,Low NatGas Price,206700155.7193684
deepdecarbonization_nuclear_instaterps_lowrecost,2030,DD + Nuclear + 80% Instate,Low RE/BESS Cost,263732103.71443003
deepdecarbonization_nuclear_instaterps_lowrecost,2040,DD + Nuclear + 80% Instate,Low RE/BESS Cost,194707453.48428842
deepdecarbonization_nuclear_instaterps_lowrecost,2050,DD + Nuclear + 80% Instate,Low RE/BESS Cost,208082857.32820836
deepdecarbonization_nuclear_instaterps_mid,2030,DD + Nuclear + 80% Instate,Mid,287882046.70058715
deepdecarbonization_nuclear_instaterps_mid,2040,DD + Nuclear + 80% Instate,Mid,223209640.50218964
deepdecarbonization_nuclear_instaterps_mid,2050,DD + Nuclear + 80% Instate,Mid,219368733.27404904
deepdecarbonization_nuclear_instaterps_noflexibleload,2030,DD + Nuclear + 80% Instate,No Flexible Load,285935810.43053806
deepdecarbonization_nuclear_instaterps_noflexibleload,2040,DD + Nuclear + 80% Instate,No Flexible Load,240454390.86283922
deepdecarbonization_nuclear_instaterps_noflexibleload,2050,DD + Nuclear + 80% Instate,No Flexible Load,242041359.2698266
deepdecarbonization_nuclear_instaterps_nointertrans,2030,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,290705183.5023813
deepdecarbonization_nuclear_instaterps_nointertrans,2040,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,228220155.71684808
deepdecarbonization_nuclear_instaterps_nointertrans,2050,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,216078533.00767976
deepdecarbonization_nuclear_lowngcost,2030,DD + Nuclear,Low NatGas Price,290573601.3916315
deepdecarbonization_nuclear_lowngcost,2040,DD + Nuclear,Low NatGas Price,238017229.9597878
deepdecarbonization_nuclear_lowngcost,2050,DD + Nuclear,Low NatGas Price,218023779.90033638
deepdecarbonization_nuclear_lowrecost,2030,DD + Nuclear,Low RE/BESS Cost,263731863.4543612
deepdecarbonization_nuclear_lowrecost,2040,DD + Nuclear,Low RE/BESS Cost,205458703.7008287
deepdecarbonization_nuclear_lowrecost,2050,DD + Nuclear,Low RE/BESS Cost,208239966.932302
deepdecarbonization_nuclear_mid,2030,DD + Nuclear,Mid,287882068.61737275
deepdecarbonization_nuclear_mid,2040,DD + Nuclear,Mid,236887405.9932951
deepdecarbonization_nuclear_mid,2050,DD + Nuclear,Mid,226576531.22600654
deepdecarbonization_nuclear_noflexibleload,2030,DD + Nuclear,No Flexible Load,285937863.6434626
deepdecarbonization_nuclear_noflexibleload,2040,DD + Nuclear,No Flexible Load,249270223.81909654
deepdecarbonization_nuclear_noflexibleload,2050,DD + Nuclear,No Flexible Load,249569717.2276575
deepdecarbonization_nuclear_nointertrans,2030,DD + Nuclear,No Interregional Transmission Upgrade,290705712.3700191
deepdecarbonization_nuclear_nointertrans,2040,DD + Nuclear,No Interregional Transmission Upgrade,238697620.87483853
deepdecarbonization_nuclear_nointertrans,2050,DD + Nuclear,No Interregional Transmission Upgrade,225547645.04266375
statedpolicy_dgsolar_doublezcfcost,2030,SP + High Solar,Doubled ZCF Fuel Price,326633760.15443957
statedpolicy_dgsolar_doublezcfcost,2040,SP + High Solar,Doubled ZCF Fuel Price,475487766.8589735
statedpolicy_dgsolar_doublezcfcost,2050,SP + High Solar,Doubled ZCF Fuel Price,648704573.9024706
statedpolicy_dgsolar_highngcost,2030,SP + High Solar,High NatGas Price,370905664.9016851
statedpolicy_dgsolar_highngcost,2040,SP + High Solar,High NatGas Price,468722563.91140974
