case,year,Scenario,TechSensitivity,nonsrec_rps_revenue
deepdecarbonization_nuclear_highrecost,2040,DD + Nuclear,High RE/BESS Cost,-2
deepdecarbonization_nuclear_highrecost,2050,DD + Nuclear,High RE/BESS Cost,0
deepdecarbonization_nuclear_instaterps_doublezcfcost,2030,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,0
deepdecarbonization_nuclear_instaterps_doublezcfcost,2040,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,8478439
deepdecarbonization_nuclear_instaterps_doublezcfcost,2050,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,5725932
deepdecarbonization_nuclear_instaterps_highngcost,2030,DD + Nuclear + 80% Instate,High NatGas Price,0
deepdecarbonization_nuclear_instaterps_highngcost,2040,DD + Nuclear + 80% Instate,High NatGas Price,8145031
deepdecarbonization_nuclear_instaterps_highngcost,2050,DD + Nuclear + 80% Instate,High NatGas Price,7929406
deepdecarbonization_nuclear_instaterps_highrecost,2030,DD + Nuclear + 80% Instate,High RE/BESS Cost,0
deepdecarbonization_nuclear_instaterps_highrecost,2040,DD + Nuclear + 80% Instate,High RE/BESS Cost,15763287
deepdecarbonization_nuclear_instaterps_highrecost,2050,DD + Nuclear + 80% Instate,High RE/BESS Cost,117320489
deepdecarbonization_nuclear_instaterps_lowngcost,2030,DD + Nuclear + 80% Instate,Low NatGas Price,0
deepdecarbonization_nuclear_instaterps_lowngcost,2040,DD + Nuclear + 80% Instate,Low NatGas Price,8288449
deepdecarbonization_nuclear_instaterps_lowngcost,2050,DD + Nuclear + 80% Instate,Low NatGas Price,22074478
deepdecarbonization_nuclear_instaterps_lowrecost,2030,DD + Nuclear + 80% Instate,Low RE/BESS Cost,0
deepdecarbonization_nuclear_instaterps_lowrecost,2040,DD + Nuclear + 80% Instate,Low RE/BESS Cost,5408296
deepdecarbonization_nuclear_instaterps_lowrecost,2050,DD + Nuclear + 80% Instate,Low RE/BESS Cost,-3
deepdecarbonization_nuclear_instaterps_mid,2030,DD + Nuclear + 80% Instate,Mid,0
deepdecarbonization_nuclear_instaterps_mid,2040,DD + Nuclear + 80% Instate,Mid,8087841
deepdecarbonization_nuclear_instaterps_mid,2050,DD + Nuclear + 80% Instate,Mid,15864386
deepdecarbonization_nuclear_instaterps_noflexibleload,2030,DD + Nuclear + 80% Instate,No Flexible Load,-4
deepdecarbonization_nuclear_instaterps_noflexibleload,2040,DD + Nuclear + 80% Instate,No Flexible Load,4609180
deepdecarbonization_nuclear_instaterps_noflexibleload,2050,DD + Nuclear + 80% Instate,No Flexible Load,17865449
deepdecarbonization_nuclear_instaterps_nointertrans,2030,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,-1
deepdecarbonization_nuclear_instaterps_nointertrans,2040,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,5232927
deepdecarbonization_nuclear_instaterps_nointertrans,2050,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,19013434
deepdecarbonization_nuclear_lowngcost,2030,DD + Nuclear,Low NatGas Price,0
deepdecarbonization_nuclear_lowngcost,2040,DD + Nuclear,Low NatGas Price,-1
deepdecarbonization_nuclear_lowngcost,2050,DD + Nuclear,Low NatGas Price,0
deepdecarbonization_nuclear_lowrecost,2030,DD + Nuclear,Low RE/BESS Cost,0
deepdecarbonization_nuclear_lowrecost,2040,DD + Nuclear,Low RE/BESS Cost,0
deepdecarbonization_nuclear_lowrecost,2050,DD + Nuclear,Low RE/BESS Cost,0
deepdecarbonization_nuclear_mid,2030,DD + Nuclear,Mid,0
deepdecarbonization_nuclear_mid,2040,DD + Nuclear,Mid,0
deepdecarbonization_nuclear_mid,2050,DD + Nuclear,Mid,0
deepdecarbonization_nuclear_noflexibleload,2030,DD + Nuclear,No Flexible Load,0
deepdecarbonization_nuclear_noflexibleload,2040,DD + Nuclear,No Flexible Load,-1
deepdecarbonization_nuclear_noflexibleload,2050,DD + Nuclear,No Flexible Load,-3
deepdecarbonization_nuclear_nointertrans,2030,DD + Nuclear,No Interregional Transmission Upgrade,-1
deepdecarbonization_nuclear_nointertrans,2040,DD + Nuclear,No Interregional Transmission Upgrade,0
deepdecarbonization_nuclear_nointertrans,2050,DD + Nuclear,No Interregional Transmission Upgrade,0
statedpolicy_dgsolar_doublezcfcost,2030,SP + High Solar,Doubled ZCF Fuel Price,20409741
statedpolicy_dgsolar_doublezcfcost,2040,SP + High Solar,Doubled ZCF Fuel Price,3598838
statedpolicy_dgsolar_doublezcfcost,2050,SP + High Solar,Doubled ZCF Fuel Price,9952811
statedpolicy_dgsolar_highngcost,2030,SP + High Solar,High NatGas Price,779764
statedpolicy_dgsolar_highngcost,2040,SP + High Solar,High NatGas Price,0
statedpolicy_dgsolar_highngcost,2050,SP + High Solar,High NatGas Price,0
statedpolicy_dgsolar_highrecost,2030,SP + High Solar,High RE/BESS Cost,40840721
statedpolicy_dgsolar_highrecost,2040,SP + High Solar,High RE/BESS Cost,96013761
statedpolicy_dgsolar_highrecost,2050,SP + High Solar,High RE/BESS Cost,57655924
statedpolicy_dgsolar_instaterps_doublezcfcost,2030,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,20409269
statedpolicy_dgsolar_instaterps_doublezcfcost,2040,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,114599650
statedpolicy_dgsolar_instaterps_doublezcfcost,2050,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,607940200
statedpolicy_dgsolar_instaterps_highngcost,2030,SP + High Solar + 80% Instate,High NatGas Price,779813
statedpolicy_dgsolar_instaterps_highngcost,2040,SP + High Solar + 80% Instate,High NatGas Price,10310947
statedpolicy_dgsolar_instaterps_highngcost,2050,SP + High Solar + 80% Instate,High NatGas Price,627145096
statedpolicy_dgsolar_instaterps_highrecost,2030,SP + High Solar + 80% Instate,High RE/BESS Cost,40839723
statedpolicy_dgsolar_instaterps_highrecost,2040,SP + High Solar + 80% Instate,High RE/BESS Cost,197618311
statedpolicy_dgsolar_instaterps_highrecost,2050,SP + High Solar + 80% Instate,High RE/BESS Cost,797141895
statedpolicy_dgsolar_instaterps_lowngcost,2030,SP + High Solar + 80% Instate,Low NatGas Price,34662451
statedpolicy_dgsolar_instaterps_lowngcost,2040,SP + High Solar + 80% Instate,Low NatGas Price,252010762
statedpolicy_dgsolar_instaterps_lowngcost,2050,SP + High Solar + 80% Instate,Low NatGas Price,1001569264
statedpolicy_dgsolar_instaterps_lowrecost,2030,SP + High Solar + 80% Instate,Low RE/BESS Cost,11125899
statedpolicy_dgsolar_instaterps_lowrecost,2040,SP + High Solar + 80% Instate,Low RE/BESS Cost,139865799
statedpolicy_dgsolar_instaterps_lowrecost,2050,SP + High Solar + 80% Instate,Low RE/BESS Cost,767153260
statedpolicy_dgsolar_instaterps_mid,2030,SP + High Solar + 80% Instate,Mid,20409269
statedpolicy_dgsolar_instaterps_mid,2040,SP + High Solar + 80% Instate,Mid,116641968
statedpolicy_dgsolar_instaterps_mid,2050,SP + High Solar + 80% Instate,Mid,790311316
statedpolicy_dgsolar_instaterps_noflexibleload,2030,SP + High Solar + 80% Instate,No Flexible Load,21946509
statedpolicy_dgsolar_instaterps_noflexibleload,2040,SP + High Solar + 80% Instate,No Flexible Load,129057228
statedpolicy_dgsolar_instaterps_noflexibleload,2050,SP + High Solar + 80% Instate,No Flexible Load,820120083
statedpolicy_dgsolar_instaterps_nointertrans,2030,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,20698230
statedpolicy_dgsolar_instaterps_nointertrans,2040,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,126673191
statedpolicy_dgsolar_instaterps_nointertrans,2050,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,810030896
statedpolicy_dgsolar_lowngcost,2030,SP + High Solar,Low NatGas Price,34662153
statedpolicy_dgsolar_lowngcost,2040,SP + High Solar,Low NatGas Price,54891688
statedpolicy_dgsolar_lowngcost,2050,SP + High Solar,Low NatGas Price,82294140
statedpolicy_dgsolar_lowrecost,2030,SP + High Solar,Low RE/BESS Cost,11125958
statedpolicy_dgsolar_lowrecost,2040,SP + High Solar,Low RE/BESS Cost,-2
statedpolicy_dgsolar_lowrecost,2050,SP + High Solar,Low RE/BESS Cost,-6
statedpolicy_dgsolar_mid,2030,SP + High Solar,Mid,20409741
statedpolicy_dgsolar_mid,2040,SP + High Solar,Mid,4321946
statedpolicy_dgsolar_mid,2050,SP + High Solar,Mid,12487290
statedpolicy_dgsolar_noflexibleload,2030,SP + High Solar,No Flexible Load,21946725
statedpolicy_dgsolar_noflexibleload,2040,SP + High Solar,No Flexible Load,7633098
statedpolicy_dgsolar_noflexibleload,2050,SP + High Solar,No Flexible Load,20752175
statedpolicy_dgsolar_nointertrans,2030,SP + High Solar,No Interregional Transmission Upgrade,20698243
statedpolicy_dgsolar_nointertrans,2040,SP + High Solar,No Interregional Transmission Upgrade,0
statedpolicy_dgsolar_nointertrans,2050,SP + High Solar,No Interregional Transmission Upgrade,0
statedpolicy_dgsolar_nuclear_doublezcfcost,2030,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,20409741
statedpolicy_dgsolar_nuclear_doublezcfcost,2040,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,5763247
statedpolicy_dgsolar_nuclear_doublezcfcost,2050,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,13101340
statedpolicy_dgsolar_nuclear_highngcost,2030,SP + High Solar + Nuclear,High NatGas Price,779764
statedpolicy_dgsolar_nuclear_highngcost,2040,SP + High Solar + Nuclear,High NatGas Price,0
statedpolicy_dgsolar_nuclear_highngcost,2050,SP + High Solar + Nuclear,High NatGas Price,0
statedpolicy_dgsolar_nuclear_highrecost,2030,SP + High Solar + Nuclear,High RE/BESS Cost,40840653
statedpolicy_dgsolar_nuclear_highrecost,2040,SP + High Solar + Nuclear,High RE/BESS Cost,98320006
