case,year,Scenario,TechSensitivity,capacity_revenue
deepdecarbonization_nuclear_noflexibleload,2050,DD + Nuclear,No Flexible Load,3885446.494990764
deepdecarbonization_nuclear_nointertrans,2030,DD + Nuclear,No Interregional Transmission Upgrade,3891566.4485563654
deepdecarbonization_nuclear_nointertrans,2040,DD + Nuclear,No Interregional Transmission Upgrade,1236169.6211360563
deepdecarbonization_nuclear_nointertrans,2050,DD + Nuclear,No Interregional Transmission Upgrade,1181634.5106264248
statedpolicy_dgsolar_doublezcfcost,2030,SP + High Solar,Doubled ZCF Fuel Price,9841665.45475484
statedpolicy_dgsolar_doublezcfcost,2040,SP + High Solar,Doubled ZCF Fuel Price,14915433.170143045
statedpolicy_dgsolar_doublezcfcost,2050,SP + High Solar,Doubled ZCF Fuel Price,7235702.499881573
statedpolicy_dgsolar_highngcost,2030,SP + High Solar,High NatGas Price,5222198.3403806165
statedpolicy_dgsolar_highngcost,2040,SP + High Solar,High NatGas Price,8539652.974216826
statedpolicy_dgsolar_highngcost,2050,SP + High Solar,High NatGas Price,4481891.973568037
statedpolicy_dgsolar_highrecost,2030,SP + High Solar,High RE/BESS Cost,49417209.18250099
statedpolicy_dgsolar_highrecost,2040,SP + High Solar,High RE/BESS Cost,19680676.544696555
statedpolicy_dgsolar_highrecost,2050,SP + High Solar,High RE/BESS Cost,12313234.259309202
statedpolicy_dgsolar_instaterps_doublezcfcost,2030,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,9842250.081093583
statedpolicy_dgsolar_instaterps_doublezcfcost,2040,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,14419052.343328148
statedpolicy_dgsolar_instaterps_doublezcfcost,2050,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,7938949.953853085
statedpolicy_dgsolar_instaterps_highngcost,2030,SP + High Solar + 80% Instate,High NatGas Price,5222151.639136208
statedpolicy_dgsolar_instaterps_highngcost,2040,SP + High Solar + 80% Instate,High NatGas Price,8673217.543124955
statedpolicy_dgsolar_instaterps_highngcost,2050,SP + High Solar + 80% Instate,High NatGas Price,4688793.457454204
statedpolicy_dgsolar_instaterps_highrecost,2030,SP + High Solar + 80% Instate,High RE/BESS Cost,49417329.87133376
statedpolicy_dgsolar_instaterps_highrecost,2040,SP + High Solar + 80% Instate,High RE/BESS Cost,20115631.176280454
statedpolicy_dgsolar_instaterps_highrecost,2050,SP + High Solar + 80% Instate,High RE/BESS Cost,12774273.33712248
statedpolicy_dgsolar_instaterps_lowngcost,2030,SP + High Solar + 80% Instate,Low NatGas Price,39499156.45370929
statedpolicy_dgsolar_instaterps_lowngcost,2040,SP + High Solar + 80% Instate,Low NatGas Price,12584566.635366194
statedpolicy_dgsolar_instaterps_lowngcost,2050,SP + High Solar + 80% Instate,Low NatGas Price,12891324.793403655
statedpolicy_dgsolar_instaterps_lowrecost,2030,SP + High Solar + 80% Instate,Low RE/BESS Cost,4574503.8170216
statedpolicy_dgsolar_instaterps_lowrecost,2040,SP + High Solar + 80% Instate,Low RE/BESS Cost,5804668.625204479
statedpolicy_dgsolar_instaterps_lowrecost,2050,SP + High Solar + 80% Instate,Low RE/BESS Cost,4802409.400335059
statedpolicy_dgsolar_instaterps_mid,2030,SP + High Solar + 80% Instate,Mid,9842250.081093583
statedpolicy_dgsolar_instaterps_mid,2040,SP + High Solar + 80% Instate,Mid,11934761.73049597
statedpolicy_dgsolar_instaterps_mid,2050,SP + High Solar + 80% Instate,Mid,5108692.762870286
statedpolicy_dgsolar_instaterps_noflexibleload,2030,SP + High Solar + 80% Instate,No Flexible Load,6981131.579632504
statedpolicy_dgsolar_instaterps_noflexibleload,2040,SP + High Solar + 80% Instate,No Flexible Load,21664602.802356407
statedpolicy_dgsolar_instaterps_noflexibleload,2050,SP + High Solar + 80% Instate,No Flexible Load,25713604.566673134
statedpolicy_dgsolar_instaterps_nointertrans,2030,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,14922160.646290857
